case,seed,wtx,slot,wrx,nframes,frames,bad,gaps,relocks,lock_at,err_n,err_got_l,err_got_r,err_exp_l,err_exp_r
clean,0000002a,16,32,16,40,40,0,0,0,0,-,-,-,-,-
prelock,0000002a,16,32,16,47,40,0,0,0,6,-,-,-,-,-
gaps,0000002a,16,32,16,43,40,0,3,0,0,-,-,-,-,-
drop,0000002a,16,32,16,40,39,1,0,1,0,20,00001500,00009521,00001442,00009463
dup,0000002a,16,32,16,41,40,1,0,1,0,21,00001442,00009463,00001500,00009521
swap,0000002a,16,32,16,40,39,1,0,0,0,20,00009463,00001442,00001442,00009463
bitflip,0000002a,16,32,16,40,39,1,0,0,0,20,00001442,00009462,00001442,00009463
bitshift,0000002a,16,32,16,40,20,20,0,0,0,20,00002884,000028c6,00001442,00009463
wrap,deadbeef,24,32,24,40,40,0,0,0,0,-,-,-,-,-
trunc,0000002a,24,32,16,40,40,0,0,0,0,-,-,-,-,-
ext,0000002a,16,32,24,40,40,0,0,0,0,-,-,-,-,-
slot_trunc,0000002a,32,16,32,40,40,0,0,0,0,-,-,-,-,-
w8_drop,00005a5a,8,16,8,30,29,1,0,1,0,12,00000055,000000d4,00000047,000000c6
nolock,0000002a,16,32,16,40,0,0,0,0,-1,-,-,-,-,-
