seed,n,c,w,word
00000000,0,0,8,00000000
00000000,0,1,8,00000081
00000000,1,0,8,00000012
00000000,1,1,8,00000093
00000000,2,0,8,00000024
00000000,2,1,8,000000a5
00000000,7,0,8,0000007e
00000000,7,1,8,000000ff
00000000,8,0,8,00000000
00000000,8,1,8,00000081
00000000,9,0,8,00000012
00000000,9,1,8,00000093
00000000,255,0,8,0000007e
00000000,255,1,8,000000ff
00000000,256,0,8,00000000
00000000,256,1,8,00000081
00000000,257,0,8,00000012
00000000,257,1,8,00000093
00000000,1000,0,8,00000000
00000000,1000,1,8,00000081
00000000,2147483647,0,8,0000007e
00000000,2147483647,1,8,000000ff
00000000,2147483648,0,8,00000000
00000000,2147483648,1,8,00000081
00000000,4294967295,0,8,0000007e
00000000,4294967295,1,8,000000ff
00000000,0,0,16,00000000
00000000,0,1,16,00008021
00000000,1,0,16,00000142
00000000,1,1,16,00008163
00000000,2,0,16,00000284
00000000,2,1,16,000082a5
00000000,127,0,16,00007fd1
00000000,127,1,16,0000fff0
00000000,128,0,16,00000000
00000000,128,1,16,00008021
00000000,129,0,16,00000142
00000000,129,1,16,00008163
00000000,255,0,16,00007fd1
00000000,255,1,16,0000fff0
00000000,256,0,16,00000000
00000000,256,1,16,00008021
00000000,257,0,16,00000142
00000000,257,1,16,00008163
00000000,1000,0,16,0000687d
00000000,1000,1,16,0000e85c
00000000,2147483647,0,16,00007fd1
00000000,2147483647,1,16,0000fff0
00000000,2147483648,0,16,00000000
00000000,2147483648,1,16,00008021
00000000,4294967295,0,16,00007fd1
00000000,4294967295,1,16,0000fff0
00000000,0,0,24,00000000
00000000,0,1,24,00802021
00000000,1,0,24,0000c042
00000000,1,1,24,0080e063
00000000,2,0,24,00010084
00000000,2,1,24,008120a5
00000000,255,0,24,007ffdc1
00000000,255,1,24,00ffdde0
00000000,256,0,24,00000000
00000000,256,1,24,00802021
00000000,257,0,24,0000c042
00000000,257,1,24,0080e063
00000000,1000,0,24,0074386d
00000000,1000,1,24,00f4184c
00000000,2147483647,0,24,007ffdc1
00000000,2147483647,1,24,00ffdde0
00000000,2147483648,0,24,00000000
00000000,2147483648,1,24,00802021
00000000,4294967295,0,24,007ffdc1
00000000,4294967295,1,24,00ffdde0
00000000,0,0,32,00000000
00000000,0,1,32,80042021
00000000,1,0,32,00884042
00000000,1,1,32,808c6063
00000000,2,0,32,01108084
00000000,2,1,32,8114a0a5
00000000,255,0,32,7fc7fdc1
00000000,255,1,32,ffc3dde0
00000000,256,0,32,00000000
00000000,256,1,32,80042021
00000000,257,0,32,00884042
00000000,257,1,32,808c6063
00000000,1000,0,32,747a386d
00000000,1000,1,32,f47e184c
00000000,2147483647,0,32,7fc7fdc1
00000000,2147483647,1,32,ffc3dde0
00000000,2147483648,0,32,00000000
00000000,2147483648,1,32,80042021
00000000,4294967295,0,32,7fc7fdc1
00000000,4294967295,1,32,ffc3dde0
0000002a,0,0,8,00000008
0000002a,0,1,8,00000089
0000002a,1,0,8,0000001a
0000002a,1,1,8,0000009b
0000002a,2,0,8,0000002c
0000002a,2,1,8,000000ad
0000002a,7,0,8,00000076
0000002a,7,1,8,000000f7
0000002a,8,0,8,00000008
0000002a,8,1,8,00000089
0000002a,9,0,8,0000001a
0000002a,9,1,8,0000009b
0000002a,255,0,8,00000076
0000002a,255,1,8,000000f7
0000002a,256,0,8,00000008
0000002a,256,1,8,00000089
0000002a,257,0,8,0000001a
0000002a,257,1,8,0000009b
0000002a,1000,0,8,00000008
0000002a,1000,1,8,00000089
0000002a,2147483647,0,8,00000076
0000002a,2147483647,1,8,000000f7
0000002a,2147483648,0,8,00000008
0000002a,2147483648,1,8,00000089
0000002a,4294967295,0,8,00000076
0000002a,4294967295,1,8,000000f7
0000002a,0,0,16,00000028
0000002a,0,1,16,00008009
0000002a,1,0,16,0000016a
0000002a,1,1,16,0000814b
0000002a,2,0,16,000002ac
0000002a,2,1,16,0000828d
0000002a,127,0,16,00007ff9
0000002a,127,1,16,0000ffd8
0000002a,128,0,16,00000028
0000002a,128,1,16,00008009
0000002a,129,0,16,0000016a
0000002a,129,1,16,0000814b
0000002a,255,0,16,00007ff9
0000002a,255,1,16,0000ffd8
0000002a,256,0,16,00000028
0000002a,256,1,16,00008009
0000002a,257,0,16,0000016a
0000002a,257,1,16,0000814b
0000002a,1000,0,16,00006855
0000002a,1000,1,16,0000e874
0000002a,2147483647,0,16,00007ff9
0000002a,2147483647,1,16,0000ffd8
0000002a,2147483648,0,16,00000028
0000002a,2147483648,1,16,00008009
0000002a,4294967295,0,16,00007ff9
0000002a,4294967295,1,16,0000ffd8
0000002a,0,0,24,00004528
0000002a,0,1,24,00806509
0000002a,1,0,24,0000856a
0000002a,1,1,24,0080a54b
0000002a,2,0,24,000145ac
0000002a,2,1,24,0081658d
0000002a,255,0,24,007fb8e9
0000002a,255,1,24,00ff98c8
0000002a,256,0,24,00004528
0000002a,256,1,24,00806509
0000002a,257,0,24,0000856a
0000002a,257,1,24,0080a54b
0000002a,1000,0,24,00747d45
0000002a,1000,1,24,00f45d64
0000002a,2147483647,0,24,007fb8e9
0000002a,2147483647,1,24,00ff98c8
0000002a,2147483648,0,24,00004528
0000002a,2147483648,1,24,00806509
0000002a,4294967295,0,24,007fb8e9
0000002a,4294967295,1,24,00ff98c8
0000002a,0,0,32,002d4528
0000002a,0,1,32,80296509
0000002a,1,0,32,00a5056a
0000002a,1,1,32,80a1254b
0000002a,2,0,32,013dc5ac
0000002a,2,1,32,8139e58d
0000002a,255,0,32,7feab8e9
0000002a,255,1,32,ffee98c8
0000002a,256,0,32,002d4528
0000002a,256,1,32,80296509
0000002a,257,0,32,00a5056a
0000002a,257,1,32,80a1254b
0000002a,1000,0,32,74577d45
0000002a,1000,1,32,f4535d64
0000002a,2147483647,0,32,7feab8e9
0000002a,2147483647,1,32,ffee98c8
0000002a,2147483648,0,32,002d4528
0000002a,2147483648,1,32,80296509
0000002a,4294967295,0,32,7feab8e9
0000002a,4294967295,1,32,ffee98c8
deadbeef,0,0,8,00000007
deadbeef,0,1,8,00000086
deadbeef,1,0,8,00000015
deadbeef,1,1,8,00000094
deadbeef,2,0,8,00000023
deadbeef,2,1,8,000000a2
deadbeef,7,0,8,00000079
deadbeef,7,1,8,000000f8
deadbeef,8,0,8,00000007
deadbeef,8,1,8,00000086
deadbeef,9,0,8,00000015
deadbeef,9,1,8,00000094
deadbeef,255,0,8,00000079
deadbeef,255,1,8,000000f8
deadbeef,256,0,8,00000007
deadbeef,256,1,8,00000086
deadbeef,257,0,8,00000015
deadbeef,257,1,8,00000094
deadbeef,1000,0,8,00000007
deadbeef,1000,1,8,00000086
deadbeef,2147483647,0,8,00000079
deadbeef,2147483647,1,8,000000f8
deadbeef,2147483648,0,8,00000007
deadbeef,2147483648,1,8,00000086
deadbeef,4294967295,0,8,00000079
deadbeef,4294967295,1,8,000000f8
deadbeef,0,0,16,000000b7
deadbeef,0,1,16,00008096
deadbeef,1,0,16,000001f5
deadbeef,1,1,16,000081d4
deadbeef,2,0,16,00000233
deadbeef,2,1,16,00008212
deadbeef,127,0,16,00007f66
deadbeef,127,1,16,0000ff47
deadbeef,128,0,16,000000b7
deadbeef,128,1,16,00008096
deadbeef,129,0,16,000001f5
deadbeef,129,1,16,000081d4
deadbeef,255,0,16,00007f66
deadbeef,255,1,16,0000ff47
deadbeef,256,0,16,000000b7
deadbeef,256,1,16,00008096
deadbeef,257,0,16,000001f5
deadbeef,257,1,16,000081d4
deadbeef,1000,0,16,000068ca
deadbeef,1000,1,16,0000e8eb
deadbeef,2147483647,0,16,00007f66
deadbeef,2147483647,1,16,0000ff47
deadbeef,2147483648,0,16,000000b7
deadbeef,2147483648,1,16,00008096
deadbeef,4294967295,0,16,00007f66
deadbeef,4294967295,1,16,0000ff47
deadbeef,0,0,24,000020b7
deadbeef,0,1,24,00800096
deadbeef,1,0,24,0000e0f5
deadbeef,1,1,24,0080c0d4
deadbeef,2,0,24,00012033
deadbeef,2,1,24,00810012
deadbeef,255,0,24,007fdd76
deadbeef,255,1,24,00fffd57
deadbeef,256,0,24,000020b7
deadbeef,256,1,24,00800096
deadbeef,257,0,24,0000e0f5
deadbeef,257,1,24,0080c0d4
deadbeef,1000,0,24,007418da
deadbeef,1000,1,24,00f438fb
deadbeef,2147483647,0,24,007fdd76
deadbeef,2147483647,1,24,00fffd57
deadbeef,2147483648,0,24,000020b7
deadbeef,2147483648,1,24,00800096
deadbeef,4294967295,0,24,007fdd76
deadbeef,4294967295,1,24,00fffd57
deadbeef,0,0,32,007d20b7
deadbeef,0,1,32,80790096
deadbeef,1,0,32,00f560f5
deadbeef,1,1,32,80f140d4
deadbeef,2,0,32,016da033
deadbeef,2,1,32,81698012
deadbeef,255,0,32,7fbadd76
deadbeef,255,1,32,ffbefd57
deadbeef,256,0,32,007d20b7
deadbeef,256,1,32,80790096
deadbeef,257,0,32,00f560f5
deadbeef,257,1,32,80f140d4
deadbeef,1000,0,32,740718da
deadbeef,1000,1,32,f40338fb
deadbeef,2147483647,0,32,7fbadd76
deadbeef,2147483647,1,32,ffbefd57
deadbeef,2147483648,0,32,007d20b7
deadbeef,2147483648,1,32,80790096
deadbeef,4294967295,0,32,7fbadd76
deadbeef,4294967295,1,32,ffbefd57
ffffffff,0,0,8,0000000f
ffffffff,0,1,8,0000008e
ffffffff,1,0,8,0000001d
ffffffff,1,1,8,0000009c
ffffffff,2,0,8,0000002b
ffffffff,2,1,8,000000aa
ffffffff,7,0,8,00000071
ffffffff,7,1,8,000000f0
ffffffff,8,0,8,0000000f
ffffffff,8,1,8,0000008e
ffffffff,9,0,8,0000001d
ffffffff,9,1,8,0000009c
ffffffff,255,0,8,00000071
ffffffff,255,1,8,000000f0
ffffffff,256,0,8,0000000f
ffffffff,256,1,8,0000008e
ffffffff,257,0,8,0000001d
ffffffff,257,1,8,0000009c
ffffffff,1000,0,8,0000000f
ffffffff,1000,1,8,0000008e
ffffffff,2147483647,0,8,00000071
ffffffff,2147483647,1,8,000000f0
ffffffff,2147483648,0,8,0000000f
ffffffff,2147483648,1,8,0000008e
ffffffff,4294967295,0,8,00000071
ffffffff,4294967295,1,8,000000f0
ffffffff,0,0,16,0000001f
ffffffff,0,1,16,0000803e
ffffffff,1,0,16,0000015d
ffffffff,1,1,16,0000817c
ffffffff,2,0,16,0000029b
ffffffff,2,1,16,000082ba
ffffffff,127,0,16,00007fce
ffffffff,127,1,16,0000ffef
ffffffff,128,0,16,0000001f
ffffffff,128,1,16,0000803e
ffffffff,129,0,16,0000015d
ffffffff,129,1,16,0000817c
ffffffff,255,0,16,00007fce
ffffffff,255,1,16,0000ffef
ffffffff,256,0,16,0000001f
ffffffff,256,1,16,0000803e
ffffffff,257,0,16,0000015d
ffffffff,257,1,16,0000817c
ffffffff,1000,0,16,00006862
ffffffff,1000,1,16,0000e843
ffffffff,2147483647,0,16,00007fce
ffffffff,2147483647,1,16,0000ffef
ffffffff,2147483648,0,16,0000001f
ffffffff,2147483648,1,16,0000803e
ffffffff,4294967295,0,16,00007fce
ffffffff,4294967295,1,16,0000ffef
ffffffff,0,0,24,0000601f
ffffffff,0,1,24,0080403e
ffffffff,1,0,24,0000a05d
ffffffff,1,1,24,0080807c
ffffffff,2,0,24,0001609b
ffffffff,2,1,24,008140ba
ffffffff,255,0,24,007f9dde
ffffffff,255,1,24,00ffbdff
ffffffff,256,0,24,0000601f
ffffffff,256,1,24,0080403e
ffffffff,257,0,24,0000a05d
ffffffff,257,1,24,0080807c
ffffffff,1000,0,24,00745872
ffffffff,1000,1,24,00f47853
ffffffff,2147483647,0,24,007f9dde
ffffffff,2147483647,1,24,00ffbdff
ffffffff,2147483648,0,24,0000601f
ffffffff,2147483648,1,24,0080403e
ffffffff,4294967295,0,24,007f9dde
ffffffff,4294967295,1,24,00ffbdff
ffffffff,0,0,32,0003e01f
ffffffff,0,1,32,8007c03e
ffffffff,1,0,32,008ba05d
ffffffff,1,1,32,808f807c
ffffffff,2,0,32,0113609b
ffffffff,2,1,32,811740ba
ffffffff,255,0,32,7fc41dde
ffffffff,255,1,32,ffc03dff
ffffffff,256,0,32,0003e01f
ffffffff,256,1,32,8007c03e
ffffffff,257,0,32,008ba05d
ffffffff,257,1,32,808f807c
ffffffff,1000,0,32,7479d872
ffffffff,1000,1,32,f47df853
ffffffff,2147483647,0,32,7fc41dde
ffffffff,2147483647,1,32,ffc03dff
ffffffff,2147483648,0,32,0003e01f
ffffffff,2147483648,1,32,8007c03e
ffffffff,4294967295,0,32,7fc41dde
ffffffff,4294967295,1,32,ffc03dff
