word,wtx,slot,wrx,result
00000052,8,8,8,00000052
00000052,8,8,16,00005200
00000052,8,8,24,00520000
00000052,8,8,32,52000000
00000052,8,16,8,00000052
00000052,8,16,16,00005200
00000052,8,16,24,00520000
00000052,8,16,32,52000000
00000052,8,24,8,00000052
00000052,8,24,16,00005200
00000052,8,24,24,00520000
00000052,8,24,32,52000000
00000052,8,32,8,00000052
00000052,8,32,16,00005200
00000052,8,32,24,00520000
00000052,8,32,32,52000000
00000052,8,40,8,00000052
00000052,8,40,16,00005200
00000052,8,40,24,00520000
00000052,8,40,32,52000000
000000d3,8,8,8,000000d3
000000d3,8,8,16,0000d300
000000d3,8,8,24,00d30000
000000d3,8,8,32,d3000000
000000d3,8,16,8,000000d3
000000d3,8,16,16,0000d300
000000d3,8,16,24,00d30000
000000d3,8,16,32,d3000000
000000d3,8,24,8,000000d3
000000d3,8,24,16,0000d300
000000d3,8,24,24,00d30000
000000d3,8,24,32,d3000000
000000d3,8,32,8,000000d3
000000d3,8,32,16,0000d300
000000d3,8,32,24,00d30000
000000d3,8,32,32,d3000000
000000d3,8,40,8,000000d3
000000d3,8,40,16,0000d300
000000d3,8,40,24,00d30000
000000d3,8,40,32,d3000000
000000ff,8,8,8,000000ff
000000ff,8,8,16,0000ff00
000000ff,8,8,24,00ff0000
000000ff,8,8,32,ff000000
000000ff,8,16,8,000000ff
000000ff,8,16,16,0000ff00
000000ff,8,16,24,00ff0000
000000ff,8,16,32,ff000000
000000ff,8,24,8,000000ff
000000ff,8,24,16,0000ff00
000000ff,8,24,24,00ff0000
000000ff,8,24,32,ff000000
000000ff,8,32,8,000000ff
000000ff,8,32,16,0000ff00
000000ff,8,32,24,00ff0000
000000ff,8,32,32,ff000000
000000ff,8,40,8,000000ff
000000ff,8,40,16,0000ff00
000000ff,8,40,24,00ff0000
000000ff,8,40,32,ff000000
00000055,8,8,8,00000055
00000055,8,8,16,00005500
00000055,8,8,24,00550000
00000055,8,8,32,55000000
00000055,8,16,8,00000055
00000055,8,16,16,00005500
00000055,8,16,24,00550000
00000055,8,16,32,55000000
00000055,8,24,8,00000055
00000055,8,24,16,00005500
00000055,8,24,24,00550000
00000055,8,24,32,55000000
00000055,8,32,8,00000055
00000055,8,32,16,00005500
00000055,8,32,24,00550000
00000055,8,32,32,55000000
00000055,8,40,8,00000055
00000055,8,40,16,00005500
00000055,8,40,24,00550000
00000055,8,40,32,55000000
00000562,16,8,8,00000005
00000562,16,8,16,00000500
00000562,16,8,24,00050000
00000562,16,8,32,05000000
00000562,16,16,8,00000005
00000562,16,16,16,00000562
00000562,16,16,24,00056200
00000562,16,16,32,05620000
00000562,16,24,8,00000005
00000562,16,24,16,00000562
00000562,16,24,24,00056200
00000562,16,24,32,05620000
00000562,16,32,8,00000005
00000562,16,32,16,00000562
00000562,16,32,24,00056200
00000562,16,32,32,05620000
00000562,16,40,8,00000005
00000562,16,40,16,00000562
00000562,16,40,24,00056200
00000562,16,40,32,05620000
00008543,16,8,8,00000085
00008543,16,8,16,00008500
00008543,16,8,24,00850000
00008543,16,8,32,85000000
00008543,16,16,8,00000085
00008543,16,16,16,00008543
00008543,16,16,24,00854300
00008543,16,16,32,85430000
00008543,16,24,8,00000085
00008543,16,24,16,00008543
00008543,16,24,24,00854300
00008543,16,24,32,85430000
00008543,16,32,8,00000085
00008543,16,32,16,00008543
00008543,16,32,24,00854300
00008543,16,32,32,85430000
00008543,16,40,8,00000085
00008543,16,40,16,00008543
00008543,16,40,24,00854300
00008543,16,40,32,85430000
0000ffff,16,8,8,000000ff
0000ffff,16,8,16,0000ff00
0000ffff,16,8,24,00ff0000
0000ffff,16,8,32,ff000000
0000ffff,16,16,8,000000ff
0000ffff,16,16,16,0000ffff
0000ffff,16,16,24,00ffff00
0000ffff,16,16,32,ffff0000
0000ffff,16,24,8,000000ff
0000ffff,16,24,16,0000ffff
0000ffff,16,24,24,00ffff00
0000ffff,16,24,32,ffff0000
0000ffff,16,32,8,000000ff
0000ffff,16,32,16,0000ffff
0000ffff,16,32,24,00ffff00
0000ffff,16,32,32,ffff0000
0000ffff,16,40,8,000000ff
0000ffff,16,40,16,0000ffff
0000ffff,16,40,24,00ffff00
0000ffff,16,40,32,ffff0000
00005555,16,8,8,00000055
00005555,16,8,16,00005500
00005555,16,8,24,00550000
00005555,16,8,32,55000000
00005555,16,16,8,00000055
00005555,16,16,16,00005555
00005555,16,16,24,00555500
00005555,16,16,32,55550000
00005555,16,24,8,00000055
00005555,16,24,16,00005555
00005555,16,24,24,00555500
00005555,16,24,32,55550000
00005555,16,32,8,00000055
00005555,16,32,16,00005555
00005555,16,32,24,00555500
00005555,16,32,32,55550000
00005555,16,40,8,00000055
00005555,16,40,16,00005555
00005555,16,40,24,00555500
00005555,16,40,32,55550000
00028462,24,8,8,00000002
00028462,24,8,16,00000200
00028462,24,8,24,00020000
00028462,24,8,32,02000000
00028462,24,16,8,00000002
00028462,24,16,16,00000284
00028462,24,16,24,00028400
00028462,24,16,32,02840000
00028462,24,24,8,00000002
00028462,24,24,16,00000284
00028462,24,24,24,00028462
00028462,24,24,32,02846200
00028462,24,32,8,00000002
00028462,24,32,16,00000284
00028462,24,32,24,00028462
00028462,24,32,32,02846200
00028462,24,40,8,00000002
00028462,24,40,16,00000284
00028462,24,40,24,00028462
00028462,24,40,32,02846200
0082a443,24,8,8,00000082
0082a443,24,8,16,00008200
0082a443,24,8,24,00820000
0082a443,24,8,32,82000000
0082a443,24,16,8,00000082
0082a443,24,16,16,000082a4
0082a443,24,16,24,0082a400
0082a443,24,16,32,82a40000
0082a443,24,24,8,00000082
0082a443,24,24,16,000082a4
0082a443,24,24,24,0082a443
0082a443,24,24,32,82a44300
0082a443,24,32,8,00000082
0082a443,24,32,16,000082a4
0082a443,24,32,24,0082a443
0082a443,24,32,32,82a44300
0082a443,24,40,8,00000082
0082a443,24,40,16,000082a4
0082a443,24,40,24,0082a443
0082a443,24,40,32,82a44300
00ffffff,24,8,8,000000ff
00ffffff,24,8,16,0000ff00
00ffffff,24,8,24,00ff0000
00ffffff,24,8,32,ff000000
00ffffff,24,16,8,000000ff
00ffffff,24,16,16,0000ffff
00ffffff,24,16,24,00ffff00
00ffffff,24,16,32,ffff0000
00ffffff,24,24,8,000000ff
00ffffff,24,24,16,0000ffff
00ffffff,24,24,24,00ffffff
00ffffff,24,24,32,ffffff00
00ffffff,24,32,8,000000ff
00ffffff,24,32,16,0000ffff
00ffffff,24,32,24,00ffffff
00ffffff,24,32,32,ffffff00
00ffffff,24,40,8,000000ff
00ffffff,24,40,16,0000ffff
00ffffff,24,40,24,00ffffff
00ffffff,24,40,32,ffffff00
00555555,24,8,8,00000055
00555555,24,8,16,00005500
00555555,24,8,24,00550000
00555555,24,8,32,55000000
00555555,24,16,8,00000055
00555555,24,16,16,00005555
00555555,24,16,24,00555500
00555555,24,16,32,55550000
00555555,24,24,8,00000055
00555555,24,24,16,00005555
00555555,24,24,24,00555555
00555555,24,24,32,55555500
00555555,24,32,8,00000055
00555555,24,32,16,00005555
00555555,24,32,24,00555555
00555555,24,32,32,55555500
00555555,24,40,8,00000055
00555555,24,40,16,00005555
00555555,24,40,24,00555555
00555555,24,40,32,55555500
02840462,32,8,8,00000002
02840462,32,8,16,00000200
02840462,32,8,24,00020000
02840462,32,8,32,02000000
02840462,32,16,8,00000002
02840462,32,16,16,00000284
02840462,32,16,24,00028400
02840462,32,16,32,02840000
02840462,32,24,8,00000002
02840462,32,24,16,00000284
02840462,32,24,24,00028404
02840462,32,24,32,02840400
02840462,32,32,8,00000002
02840462,32,32,16,00000284
02840462,32,32,24,00028404
02840462,32,32,32,02840462
02840462,32,40,8,00000002
02840462,32,40,16,00000284
02840462,32,40,24,00028404
02840462,32,40,32,02840462
82802443,32,8,8,00000082
82802443,32,8,16,00008200
82802443,32,8,24,00820000
82802443,32,8,32,82000000
82802443,32,16,8,00000082
82802443,32,16,16,00008280
82802443,32,16,24,00828000
82802443,32,16,32,82800000
82802443,32,24,8,00000082
82802443,32,24,16,00008280
82802443,32,24,24,00828024
82802443,32,24,32,82802400
82802443,32,32,8,00000082
82802443,32,32,16,00008280
82802443,32,32,24,00828024
82802443,32,32,32,82802443
82802443,32,40,8,00000082
82802443,32,40,16,00008280
82802443,32,40,24,00828024
82802443,32,40,32,82802443
ffffffff,32,8,8,000000ff
ffffffff,32,8,16,0000ff00
ffffffff,32,8,24,00ff0000
ffffffff,32,8,32,ff000000
ffffffff,32,16,8,000000ff
ffffffff,32,16,16,0000ffff
ffffffff,32,16,24,00ffff00
ffffffff,32,16,32,ffff0000
ffffffff,32,24,8,000000ff
ffffffff,32,24,16,0000ffff
ffffffff,32,24,24,00ffffff
ffffffff,32,24,32,ffffff00
ffffffff,32,32,8,000000ff
ffffffff,32,32,16,0000ffff
ffffffff,32,32,24,00ffffff
ffffffff,32,32,32,ffffffff
ffffffff,32,40,8,000000ff
ffffffff,32,40,16,0000ffff
ffffffff,32,40,24,00ffffff
ffffffff,32,40,32,ffffffff
55555555,32,8,8,00000055
55555555,32,8,16,00005500
55555555,32,8,24,00550000
55555555,32,8,32,55000000
55555555,32,16,8,00000055
55555555,32,16,16,00005555
55555555,32,16,24,00555500
55555555,32,16,32,55550000
55555555,32,24,8,00000055
55555555,32,24,16,00005555
55555555,32,24,24,00555555
55555555,32,24,32,55555500
55555555,32,32,8,00000055
55555555,32,32,16,00005555
55555555,32,32,24,00555555
55555555,32,32,32,55555555
55555555,32,40,8,00000055
55555555,32,40,16,00005555
55555555,32,40,24,00555555
55555555,32,40,32,55555555
